cctrans,extent,extentMatchCount,mExtent,aExtent,temporalEx,temMatchCount,mTem,aTem,typesStrict,typeMatchCount,mTypes,aTypes,transStrict,transMatchCount,mTrans,aTrans,question,q
1,1.0,1,1,1,1.0,0,0,0,1.0,1,1,1,1.0,1,1,1,1,What is the slope in Utrecht
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What is the Euclidean distance to recreational sites in Utrecht
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What is the Euclidean distance to schools in Utrecht
1,0.0,0,1,0,0.0,0,0,0,0.5,3,6,3,0.0,0,2,1,0,What is the least cost route from school to the closest road intersection based on slope and land use in Utrecht
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What is the interpolated surface of ozone concentration in California
1,1.0,1,1,1,1.0,0,0,0,1.0,4,4,4,0.0,0,1,0,0,"What is the shortest network-based path through the Palace of Fine Arts, Ferry Building and de Young Meseum in San Francisco"
1,0.0,0,1,0,1.0,0,0,0,0.25,1,4,1,0.0,0,2,1,0,What are the four fire stations with shortest network-based paths to 1202 Twin Peaks Blvd in San Francisco
1,1.0,1,1,1,1.0,0,0,0,1.0,5,5,5,1.0,2,2,2,1,What are the four fire stations within 3 minutes of travel time from a fire in San Francisco
1,1.0,1,1,1,1.0,0,0,0,1.0,4,4,4,1.0,2,2,2,1,"What areas are within 3 minutes, 5 minutes, and 10 minutes from six warehouses in Paris"
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,1,1,1,1,What is the number of stores for each warehouse service area in Paris
1,1.0,1,1,1,1.0,0,0,0,1.0,7,7,7,0.0,0,3,0,0,What is the delivery cost from warehouse to stores within 10 minute driving time in Paris
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,1,1,1,1,What is the fastest delivery route through 21 stores in Paris
1,1.0,1,1,1,1.0,0,0,0,0.75,3,4,3,0.0,0,1,0,0,What are the fastest routes for three 15000-pound capacity trucks to meet the delivery demands of 25 grocery stores in Utrecht
0,0.0,0,1,0,0.0,0,0,0,0.0,0,5,NA,0.0,0,1,NA,0,What are the fastest routes for three vans to transport customers from their homes to hospitals between 8 am to 10 am in Utrecht
1,0.0,0,1,0,0.0,0,0,0,0.0,0,3,NA,0.0,0,1,NA,0,What are the three locations for new stores that maximize attendance in Utrecht
1,0.0,0,1,0,0.0,0,0,0,0.0,0,3,NA,0.0,0,1,NA,0,What are the three locations for new stores that maximize market share in Utrecht
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,Which fire station is the closest to each school in Utrecht
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What are the two fire stations closest to each school in Utrecht
1,1.0,1,1,1,1.0,0,0,0,1.0,4,4,4,1.0,3,3,3,1,What is the number of people between 15 and 19 years old within 1.5 miles of library branches in Palm city
1,1.0,1,1,1,1.0,0,0,0,1.0,4,4,4,1.0,3,3,3,1,What is the number of asian people within 1.5 miles of library branches in Palm city
1,1.0,1,1,1,1.0,0,0,0,1.0,4,4,4,1.0,2,2,2,1,What are the median household income within 1.5 miles of library branches in Palm city
1,0.0,0,1,0,0.5,1,2,1,1.0,4,4,4,1.0,2,2,2,0,What areas are within four minutes of a fire station at 5 pm on Friday in Utrecht
0,0.0,0,1,0,0.0,0,2,0,0.0,0,4,NA,0.0,0,2,NA,0,What are the areas within a four-minute drive of each fire station at 2 a.m. on Tuesday in Utrecht
1,1.0,1,1,1,1.0,0,0,0,1.0,5,5,5,1.0,2,2,2,1,"What areas are within 6 minute, 8 minute, 10 minute and 12 minute of driving time from fire stations in Utrecht"
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,1,1,1,1,How many streetlights for each district in San Diego
1,1.0,1,1,1,1.0,0,0,0,1.0,4,4,4,1.0,2,2,2,1,What is the total length of bike routes for each district in San Diego
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,3,0.0,0,1,3,0,Which districts have more than 165 streetlights and less than 250 streetlights in San Diego
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,Which districts have bicycle routes more than 2.3 miles and less than 3.9 miles in San Diego
1,1.0,1,1,1,1.0,0,0,0,1.0,5,5,5,0.0,0,5,4,0,"What liquor stores are within 1000 foot of schools, libraries, and parks in El Cajon"
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,What liquor stores are within 1000 foot of schools in El Cajon
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,What liquor stores are within 1000 foot of libraries in El Cajon
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,What liquor stores are within 1000 foot of parks in El Cajon
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,What areas are inside 1000 foot of schools in El Cajon
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,Which college district has the fewest households with an annual income less than 30000 dollars in the United States of America
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,Which wind farm proposals are not intersect with the wild lands in Scotland
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What areas are visible from the wild lands in Scotland
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,Which wind farm proposals are nearest to the roads in Scotland
1,1.0,1,1,1,1.0,0,0,0,1.0,6,6,6,0.0,0,6,5,0,"What areas are within a quarter mile of a store or restaurant, light rail stop, and planned commercial district in Gresham"
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,What areas are within a quarter mile of a store in Gresham
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,What areas are within a quarter mile of a restaurant in Gresham
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,What areas are within a quarter mile of light rail stop in Gresham
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,What areas are within a quarter mile of planned commercial district in Gresham
1,1.0,1,1,1,1.0,0,0,0,1.0,1,1,1,1.0,1,1,1,1,Which gas stations are in Gresham
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What is the area of currently mixed use zones in Gresham
1,1.0,1,1,1,1.0,1,1,1,1.0,3,3,3,1.0,1,1,1,1,What is the number of tornadoes for each state in the United States of America from 1950 to 2011
1,1.0,1,1,1,1.0,1,1,1,1.0,2,2,2,1.0,1,1,1,1,Which county has the highest Fujita damage scale in the United States of America from 1950 to 2011
1,1.0,1,1,1,1.0,1,1,1,1.0,3,3,3,1.0,1,1,1,1,What are the mean directions of tornadoes for each county in the United States of America from 1950 to 2011
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,1,1,1,1,What are the risk index of new homelessness for each census tract in Los Angeles
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,Which census tracts have more than 200 unemployed people over 16 years old in Los Angeles
1,1.0,1,1,1,1.0,0,0,0,1.0,4,4,4,1.0,2,2,2,1,Where is the hot spot of homeless population density for each 20000 feet distance band in Los Angeles
1,1.0,1,1,1,1.0,0,0,0,1.0,4,4,4,1.0,4,4,4,1,"Which vacant lots are larger than 20 acres, within 1 mile of a freeway, and outside the flood zone in Hillsboro"
1,1.0,1,1,1,1.0,0,0,0,1.0,1,1,1,1.0,1,1,1,1,Which vacant lots are larger than 20 acres in Hillsboro
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,Which vacant lots are within 1 mile of a freeway in Hillsboro
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,Which vacant lots are outside the flood zone in Hillsboro
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What is the average cost per acre for each potential sites in Hillsboro
1,1.0,3,3,3,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,"Where are the private lands in Crook county, Deschutes county, and Jefferson county"
1,1.0,3,3,3,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,"What is the Euclidean distance to the rivers in Crook, Deschutes, and Jefferson county"
1,1.0,3,3,3,1.0,0,0,0,0.2,1,5,3,0.0,0,2,1,0,"Which airports are within 50 mile of Crook, Deschutes and Jefferson county"
1,1.0,3,3,3,1.0,0,0,0,1.0,4,4,4,1.0,2,2,2,1,"What areas are within 60 minutes of airports in Crook, Deschutes, and Jefferson county"
1,1.0,3,3,3,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,"Which peaks are greater than or equal to 2000 meters and within 40 miles of the countries borders in Crook, Deschutes, and Jefferson county"
1,1.0,3,3,3,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,"What areas are visible from peaks in Crook, Deschutes, and Jefferson county"
1,1.0,3,3,3,1.0,0,0,0,1.0,5,5,5,1.0,3,3,3,1,"What is the average euclidean distance to rivers for each standard deviational ellipses of golf courses in Crook, Deschutes, and Jefferson county"
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,Which parcels have an average slope of less than 10 percent in Poway
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,Which parcels are within 1500 feet of the major road in Poway
1,1.0,1,1,1,1.0,0,0,0,1.0,5,5,5,1.0,2,2,2,1,Which census blocks are within a four-minute travel time from fire stations in Poway
1,1.0,1,1,1,1.0,0,0,0,1.0,8,8,8,1.0,5,5,5,1,What is the percentage of census blocks within 4 minute travel time from fire stations in Poway
1,1.0,1,1,1,1.0,0,0,0,1.0,5,5,5,1.0,2,2,2,1,What is the total population within a four-minute travel time from fire stations in Poway
1,1.0,1,1,1,1.0,0,0,0,1.0,6,6,6,1.0,2,2,2,1,What is the total property values within a four-minute travel time from fire stations in Poway
1,1.0,1,1,1,1.0,0,0,0,1.0,5,5,5,1.0,2,2,2,1,What is the total miles of streets within four minutes of fire stations in Poway
1,1.0,1,1,1,1.0,1,1,1,1.0,2,2,2,1.0,1,1,1,1,What is the cluster for the people over 55 years old in USA in 2019
1,1.0,1,1,1,1.0,1,1,1,1.0,2,2,2,1.0,1,1,1,1,What is the hot spot of house vacancy rate in USA in 2019
1,1.0,1,1,1,1.0,1,1,1,1.0,4,4,4,1.0,2,2,2,1,What is the ratio of population over 55 years old in a zip code area to the total population over 55 years old in USA in 2019
0,0.0,0,1,0,0.0,0,1,0,0.0,0,3,NA,0.0,0,2,NA,0,At which locations is the number of traffic accidents increasing in Florida between 2010 and 2015
0,0.0,0,1,0,0.0,0,1,0,0.0,0,3,NA,0.0,0,2,NA,0,At which range of time of the day is the number of car accidents highest between 2010 and 2015 in Florida
1,1.0,1,1,1,1.0,1,1,1,0.5,1,2,3,0.0,0,1,1,0,Where do the car accidents between 3:00 and 5:00 pm occur in Florida between 2010 and 2015
1,1.0,1,1,1,1.0,1,1,1,1.0,3,3,3,1.0,2,2,2,1,Where are hot spots of violent crime incidents in Florida in 2019
0,0.0,0,1,0,0.0,0,1,0,0.0,0,3,NA,0.0,0,2,NA,0,At which locations has the number of violent crime incident increased in Florida in 2019
1,1.0,1,1,1,1.0,1,1,1,1.0,5,5,5,0.33,1,3,3,0,Where do hot spots of crime incidents overlap with hot spots of unemployment in Florida in 2019
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,Which residential properties are within 1 km of a school in Swellendam
1,1.0,1,1,1,1.0,0,0,0,1.0,1,1,1,1.0,1,1,1,1,Which residential properties are larger than 100 square meters in Swellendam
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,Which residential properties are within 50 meters of a main road in Swellendam
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,Which residential properties are within 500 meters of a restaurant in Swellendam
1,1.0,2,2,2,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,What areas are within 1000 meters of roads in Assam in India
1,1.0,2,2,2,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,What areas are outside 5 km of water bodies in Assam in India
1,1.0,2,2,2,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,Where are not protected region in Assam in India
1,1.0,1,1,1,1.0,0,0,0,1.0,4,4,4,1.0,2,2,2,1,What is the average rating of street pavement for each borough in New York City
1,1.0,1,1,1,1.0,0,0,0,1.0,1,1,1,1.0,1,1,1,1,What is the population density in California
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,Which bars are within half a kilometre of a metro station in Melbourne
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,Which pubs are within half a kilometre of a metro station in Melbourne
1,1.0,2,2,2,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What is the kernel density of crime in Surrey in UK
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,Which mental health facilities are closest to each address in Washington DC
1,1.0,2,2,2,1.0,0,0,0,1.0,5,5,5,1.0,2,2,2,1,What areas are within 15 minutes walking distance of a metro rail station in Kochi in India
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,1,1,1,1,What is the average monthly rainfall for each zip code area in the Seattle
1,1.0,1,1,1,1.0,0,0,0,1.0,1,1,1,1.0,1,1,1,1,What are the vegetation areas larger than 6000 square meters in the Cape Peninsula
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What areas have an aspect larger than 45 degree and smaller than 135 degrees in the Cape Peninsula
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What areas have slope larger than 15 percent and smaller than 60 percent in the Cape Peninsula
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What areas have an annual rainfall of more than 1000 millimeters in the Cape Peninsula
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,3,1.0,2,2,2,1,What areas are outside 250 meters of human settlement in the Cape Peninsula
1,0.0,0,1,0,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,0,Which city is closest to each major earthquake in the world
1,0.0,0,1,0,1.0,0,0,0,1.0,3,3,3,1.0,1,1,1,0,What is the number of maritime piracy incidents for each hexagonal grid in the world
1,1.0,1,1,1,1.0,0,0,0,1.0,3,3,5,0.5,1,2,2,0,Where are the clusters of fatal car accidents with at least three incidents inside 300 meter search distance in the United State
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What is the literacy rate for each country in Africa
1,0.0,0,1,0,0.0,0,1,0,0.5,1,2,1,0.0,0,1,1,0,What are the countries where literacy rates are rising or falling in Africa between 1990 and 2015
1,1.0,1,1,1,1.0,0,0,0,0.67,2,3,2,0.0,0,1,1,0,Which countries are with low literacy rates and high adolescent birth rates in Africa
1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1,What was the cesium 137 concentration near the Chernobyl nuclear power plant in 1992
0,0.0,0,1,0,0.0,0,0,0,0.0,0,2,NA,0.0,0,1,NA,0,What was the spatial autocorrelation of the cesium 137 concentration near the Chernobyl nuclear power plant in 1992
1,1.0,1,1,1,0.0,0,0,0,0.5,1,2,1,0.0,0,1,1,0,What was the spatial trend of the cesium 137 concentration near the Chernobyl nuclear power plant in 1992
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,Which ZIP3 areas do have the highest per household online loan application rates in the US
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,Which ZIP3 areas do have the highest average loan interest rates in the US
1,1.0,1,1,1,1.0,0,0,0,1.0,2,2,2,1.0,1,1,1,1,What is the hot spots and cold spots for average loan interest rates in the US
